dataset,condition,num_documents,num_chunks,avg_tokens_per_chunk,total_embedding_time_seconds,avg_embedding_time_per_chunk_ms,chroma_add_time_seconds,total_indexing_time_seconds,index_size_mb,embedding_model
wikitablequestions,baseline,263,5671,37.85,124.3664,21.9302,14.6465,139.0234,-1.0,Octen/Octen-Embedding-0.6B
wikitablequestions,enriched,263,5671,139.99,406.4839,71.6776,19.2792,425.796,-1.0,Octen/Octen-Embedding-0.6B
chartqa,baseline,300,300,2.2,2.0923,6.9743,1.7128,3.8062,-1.0,Octen/Octen-Embedding-0.6B
chartqa,enriched,300,300,28.29,2.8511,9.5035,1.4955,4.3474,-1.0,Octen/Octen-Embedding-0.6B
scifact,baseline,401,3500,40.45,63.0729,18.0208,13.7098,76.8094,-1.0,Octen/Octen-Embedding-0.6B
scifact,enriched,401,3500,120.03,131.2136,37.4896,12.2053,143.4249,-1.0,Octen/Octen-Embedding-0.6B
nfcorpus,baseline,984,1810,222.7,161.5132,89.2338,5.2454,166.7644,-1.0,Octen/Octen-Embedding-0.6B
nfcorpus,enriched,984,1810,339.15,241.6617,133.5148,7.5314,249.1965,-1.0,Octen/Octen-Embedding-0.6B
formulareasoning,baseline,272,272,28.63,3.5082,12.8979,1.6323,5.1537,-1.0,Octen/Octen-Embedding-0.6B
formulareasoning,enriched,272,272,75.25,6.7272,24.7324,1.0027,7.7304,-1.0,Octen/Octen-Embedding-0.6B
